group,dom_bucket,interval,dom_correction,n_obs
C,late,04:30,1.0056957163578109,30
C,late,05:00,1.0465655026484237,30
C,late,05:30,0.9634063248625048,30
C,late,06:00,0.9849462597736858,30
C,late,06:30,1.0015314863755693,30
C,late,07:00,1.0112090000348235,30
C,late,07:30,1.0378917491528252,30
C,late,08:00,1.035092870326832,30
C,late,08:30,1.0136904831251254,30
C,late,09:00,1.0163655698947756,30
C,late,09:30,1.002351887419522,30
C,late,10:00,1.00394486795481,30
C,late,10:30,0.9976297266859399,30
C,late,11:00,1.0066894758480625,30
C,late,11:30,1.0049660060703778,30
C,late,12:00,0.9930230030260316,30
C,late,12:30,0.9993340259009317,30
C,late,13:00,1.0007208812730655,30
C,late,13:30,1.0017312367323892,30
C,late,14:00,1.0000674120826984,30
C,late,14:30,1.0004866715279639,30
C,late,15:00,1.001922210062298,30
C,late,15:30,1.0036808190054878,30
C,late,16:00,0.9936456499479004,30
C,late,16:30,0.9965361199728171,30
C,late,17:00,0.9978254087275572,30
C,late,17:30,0.9914668372605415,30
C,late,18:00,0.9975779061191223,30
C,late,18:30,0.9914048775679756,30
C,late,19:00,0.9925577942187994,30
C,late,19:30,1.0020225075283231,30
C,late,20:00,1.0034554894132108,30
C,late,20:30,1.000969194933101,30
C,late,21:00,0.9979019799788881,30
C,late,21:30,1.0036257968012439,30
C,late,22:00,0.9677154021962611,30
C,late,22:30,0.976548713016852,30
C,late,23:00,0.9909030488366323,30
C,late,23:30,0.9474348902541886,30
C,mid,00:00,1.0059886122091604,27
C,mid,00:30,1.0395838699731959,27
C,mid,01:00,1.040477826356006,27
C,mid,01:30,1.0372178630608309,27
C,mid,02:00,1.043515680862479,27
C,mid,02:30,1.0350470522485025,27
C,mid,03:00,1.0817544440102627,27
C,mid,03:30,1.1603021507981195,27
C,mid,04:00,0.999917472052918,27
C,mid,04:30,0.9986403817909423,27
C,mid,05:00,0.9274391997482432,27
C,mid,05:30,0.9686186955527917,27
C,mid,06:00,0.9343590943719445,27
C,mid,06:30,0.9764589114488635,27
C,mid,07:00,1.006386216854381,27
C,mid,07:30,1.004136958639551,27
C,mid,08:00,1.001491661480876,27
C,mid,08:30,1.0060569211964796,27
C,mid,09:00,0.99931920059801,27
C,mid,09:30,0.9952951846652357,27
C,mid,10:00,0.98978025612334,27
C,mid,10:30,0.9848377850970693,27
C,mid,11:00,1.0007214373867956,27
C,mid,11:30,0.9977515523102986,27
C,mid,12:00,0.9944577651300662,27
C,mid,12:30,0.9937754504176914,27
C,mid,13:00,0.9856721965600126,27
C,mid,13:30,0.9984702062787685,27
C,mid,14:00,0.9849526606821248,27
C,mid,14:30,0.9863044877689177,27
C,mid,15:00,0.9828166930398232,27
C,mid,15:30,0.9854215600253486,27
C,mid,16:00,0.9997961064043482,27
C,mid,16:30,0.9996785328979698,27
C,mid,17:00,0.9872140844007002,27
C,mid,17:30,0.9959564876325154,27
C,mid,18:00,0.9957718115922577,27
C,mid,18:30,1.0087114337365408,27
C,mid,19:00,0.9981689850003047,27
C,mid,19:30,0.9963124498240361,27
C,mid,20:00,1.0164831914327728,27
C,mid,20:30,1.0194840796373332,27
C,mid,21:00,1.0162970972482863,27
C,mid,21:30,1.0095716701540132,27
C,mid,22:00,1.029966458251972,27
C,mid,22:30,1.0160206300198673,27
C,mid,23:00,1.0128672046541558,27
C,mid,23:30,1.028465204051589,27
D,early,00:00,0.9860495370833419,30
D,early,00:30,1.0492682855039124,30
D,early,01:00,1.0072864770535672,30
D,early,01:30,1.017024486135236,30
D,early,02:00,1.0640990223883997,30
D,early,02:30,0.9557101516960734,30
D,early,03:00,0.9296048062510213,30
D,early,03:30,0.8528753025850323,30
D,early,04:00,0.985073101397092,29
D,early,04:30,1.265193138865797,26
D,early,05:00,1.033133999964033,30
D,early,05:30,0.9160677611275939,30
D,early,06:00,0.9355043357104285,30
D,early,06:30,1.033526872246512,30
D,early,07:00,0.9478268836517346,30
D,early,07:30,0.9500328584840748,30
D,early,08:00,0.9889316563278736,30
D,early,08:30,1.0089366165501887,30
D,early,09:00,0.984295888114164,30
D,early,09:30,1.0109467353721417,30
D,early,10:00,1.0012418327181545,30
D,early,10:30,1.0039566847914136,30
D,early,11:00,0.9972846536477783,30
D,early,11:30,1.0096041875464483,30
D,early,12:00,1.0003698377523285,30
D,early,12:30,1.0070252426777622,30
D,early,13:00,0.9971352121767307,30
D,early,13:30,1.0102009132204184,30
D,early,14:00,1.0003806970600688,30
D,early,14:30,0.9872489799820869,30
D,early,15:00,0.9932324246582597,30
D,early,15:30,0.9821677882592166,30
D,early,16:00,0.9865804041763192,30
D,early,16:30,0.9926826410236435,30
D,early,17:00,0.9995154390426324,30
D,early,17:30,0.9995670154086663,30
D,early,18:00,0.9967905161478819,30
D,early,18:30,0.9946655848277659,30
D,early,19:00,0.9797617997445792,30
D,early,19:30,0.9864415214025817,30
D,early,20:00,0.9905944492728052,30
D,early,20:30,1.0005680248660005,30
D,early,21:00,0.9956914739436785,30
D,early,21:30,0.9803992279987916,30
D,early,22:00,1.0100611813783136,30
D,early,22:30,1.011304826209429,30
D,early,23:00,1.0028135950257542,30
D,early,23:30,1.0315629439603164,30
D,late,00:00,0.9542298204366582,30
D,late,00:30,0.9347185553670035,30
D,late,01:00,1.00049149111102,30
D,late,01:30,0.9463583162953529,30
D,late,02:00,0.909593009692034,30
D,late,02:30,1.046791769944358,29
D,late,03:00,1.0951162287721,30
D,late,03:30,1.1491552998305516,30
D,late,04:00,0.6834828159651546,29
D,late,04:30,0.7603168383329442,30
D,late,05:00,0.8580882192130267,30
D,late,05:30,0.9839832893869213,30
D,late,06:00,1.0275613490688644,30
D,late,06:30,1.0093562358184358,30
D,late,07:00,1.0247000315747254,30
D,late,07:30,1.0319710727456661,30
D,late,08:00,1.0171644801788364,30
D,late,08:30,0.9977206663648992,30
D,late,09:00,1.0218691519836527,30
D,late,09:30,0.9968981471338773,30
D,late,10:00,1.0099683038128933,30
D,late,10:30,0.9798926478641994,30
D,late,11:00,1.006751638912028,30
D,late,11:30,1.01201213745858,30
D,late,12:00,1.0071745017168594,30
D,late,12:30,0.9992543954806746,30
D,late,13:00,0.9979392168227567,30
D,late,13:30,1.0038354872932007,30
D,late,14:00,1.0021759107753114,30
D,late,14:30,1.0093708237837384,30
D,late,15:00,1.0114470621530753,30
D,late,15:30,0.99784963744879,30
D,late,16:00,0.9985042004966508,30
D,late,16:30,0.9986673008893796,30
D,late,17:00,0.9921167382397718,30
D,late,17:30,1.0016568514647468,30
D,late,18:00,0.9962829811258912,30
D,late,18:30,0.9782133057061999,30
D,late,19:00,0.9982643633447593,30
D,late,19:30,1.0042202488581964,30
D,late,20:00,1.003882857553544,30
D,late,20:30,0.987144268325855,30
D,late,21:00,0.9885597614674787,30
D,late,21:30,0.9619468708907227,30
D,late,22:00,0.9599649225271465,30
D,late,22:30,0.9589944708248155,30
D,late,23:00,0.961472474574354,30
D,late,23:30,0.9046684811068876,30
D,mid,00:00,1.0655516647354613,27
D,mid,00:30,0.9804138738974261,27
D,mid,01:00,0.9747838730759133,27
D,mid,01:30,1.0477055632104209,27
D,mid,02:00,1.0323105140402706,27
D,mid,02:30,1.0241505844064556,27
D,mid,03:00,0.9806824096156233,27
D,mid,03:30,0.9303238804419588,27
D,mid,04:00,1.4324333524092812,26
D,mid,04:30,1.3829670171500226,27
D,mid,05:00,1.6631570690777921,26
D,mid,05:30,1.3081409909922774,27
D,mid,06:00,1.0482413134626567,27
D,mid,06:30,0.9666663770518609,27
